id,mpName,house,state,constituency,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completionRate,pendingWorks,unspentAmount,completedWorksValue,totalCompletedAmount,inProgressPayments,paymentGapPercentage
"6a5fa6dfd334337a039ce457","Smt. S. Phangnon Konyak (2022-28)","Rajya Sabha","Nagaland","Sitting Rajya Sabha","206563957.11","180719000","87.48815743482442","57","17","77.02702702702703","-40","25844957.110000014","144763000","144763000","35956000","19.89608176229395"
"6a5fa6dcd334337a039ce10c","Shri Arun Kumar Sagar ","Lok Sabha","Uttar Pradesh","SHAHJAHANPUR","147000000","128343000","87.30816326530612","4","3","57.14285714285714","-1","18657000","97143000","97143000","31200000","24.30985717958907"
"6a5fa6dfd334337a039ce3fe","Shri Mithlesh Kumar (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","170753928","87.09093222279502","195","5","97.5","-190","25310029.110000014","143813928","143813928","26940000","15.777089473455627"
"6a5fa6dfd334337a039ce448","Smt. Geeta alias Chandraprabha (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","167618448.35","85.49171954943208","210","9","95.8904109589041","-201","28445508.76000002","161572420","161572420","6046028.349999994","3.607018445472917"
"6a5fa6dfd334337a039ce447","Smt. Darshana Singh (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196994373.87","162715452","82.59903509091014","29","17","63.04347826086957","-12","34278921.870000005","138396378","138396378","24319074","14.945768026997214"
"6a5fa6dfd334337a039ce3e8","Shri Javed Ali Khan (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","159413303.28","81.3067866372617","121","67","64.36170212765957","-54","36650653.83000001","98785000","98785000","60628303.28","38.032147902681615"
"6a5fa6dcd334337a039ce0e1","S SUPONGMEREN JAMIR","Lok Sabha","Nagaland","NAGALAND","147000000","119300000","81.15646258503402","37","19","66.07142857142857","-18","27700000","88300000","88300000","31000000","25.984911986588433"
"6a5fa6dfd334337a039ce412","Shri R. Dharmar (2022-28)","Rajya Sabha","Tamil Nadu","Sitting Rajya Sabha","260455766.02","207877791","79.81308848583424","158","86","64.75409836065575","-72","52577975.02000001","177717482","177717482","30160309","14.50867303087707"
"6a5fa6dfd334337a039ce3dd","Shri Hardeep Singh Puri (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","226801049.11","179442915.2","79.11908516479966","199","216","47.95180722891566","17","47358133.910000026","65446993","65446993","113995922.19999999","63.527680696083564"
"6a5fa6dfd334337a039ce3c3","Shri B.L. Verma (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","152958941.09","78.01481891145535","347","60","85.25798525798525","-287","43105016.02000001","113949719","113949719","39009222.09","25.503067563109788"
"6a5fa6dcd334337a039ce145","SUKHDEO BHAGAT","Lok Sabha","Jharkhand","LOHARDAGA","171821957.11","133889599","77.92345125849323","50","234","17.6056338028169","184","37932358.110000014","31199500","31199500","102690099","76.6975924694494"
"6a5fa6dfd334337a039ce45f","Smt. Sumitra Balmik (2022-28)","Rajya Sabha","Madhya Pradesh","Sitting Rajya Sabha","196063957.11","152410720","77.73520551484701","49","130","27.37430167597765","81","43653237.110000014","55210491","55210491","97200229","63.77519179753235"
"6a5fa6dfd334337a039ce3f3","Shri Khiru Mahto (2022-28)","Rajya Sabha","Bihar","Sitting Rajya Sabha","235770091.81","182470779","77.39352247741739","164","13","92.65536723163842","-151","53299312.81","169971989","169971989","12498790","6.84974880279324"
"6a5fa6dfd334337a039ce41b","Shri Ramji (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","174518577.11","133996851","76.78085234189199","154","91","62.857142857142854","-63","40521726.110000014","133996851","133996851","0","0"
"6a5fa6dfd334337a039ce45b","Smt. Seema Dwivedi (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","173830159.11","132094519.4","75.99056462717174","189","141","57.27272727272727","-48","41735639.71000001","94406053","94406053","37688466.400000006","28.531438375481915"
"6a5fa6dfd334337a039ce3b5","Prof. Ram Gopal Yadav (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","221271395.11","164404082","74.29974485326957","22","57","27.848101265822784","35","56867313.110000014","62640169","62640169","101763913","61.898653465307504"
"6a5fa6dfd334337a039ce397","Dr. Bhim Singh (2024-30)","Rajya Sabha","Bihar","Sitting Rajya Sabha","186200000","137983087","74.10477282491944","231","83","73.56687898089172","-148","48216913","93169910","93169910","44813177","32.477297018293264"
"6a5fa6dfd334337a039ce454","Smt. Ranjeet Ranjan (2022-28)","Rajya Sabha","Chhattisgarh","Sitting Rajya Sabha","246780257.87","181353783","73.48796235375292","147","110","57.19844357976653","-37","65426474.870000005","117621814","117621814","63731969","35.142343294818396"
"6a5fa6dcd334337a039ce166","VIJAYLAKSHMI DEVI","Lok Sabha","Bihar","SIWAN","147000000","107798616","73.33239183673469","95","82","53.672316384180796","-13","39201384","90543755","90543755","17254861","16.006570065797504"
"6a5fa6dcd334337a039ce0d2","Ramprit Mandal","Lok Sabha","Bihar","JHANJHARPUR","147000000","107510581","73.13644965986394","87","92","48.60335195530726","5","39489419","91202438","91202438","16308143","15.16887254101994"
